Timestamp,Src_IP,Dst_IP,Src_Port,Dst_Port,Protocol,Packet_Size,TTL,Flags,Attack_Type
1743394011.825172,192.168.246.50,192.168.246.210,1386,80,6,54,64,S,Normal
1743394011.828018,192.168.246.50,192.168.246.210,1387,80,6,54,64,S,Normal
1743394011.830187,192.168.246.50,192.168.246.210,1388,80,6,54,64,S,Normal
1743394011.8388748,192.168.246.50,192.168.246.210,1389,80,6,54,64,S,Normal
1743394011.842613,192.168.246.50,192.168.246.210,1390,80,6,54,64,S,Normal
1743394011.846886,192.168.246.50,192.168.246.210,1391,80,6,54,64,S,Normal
1743394011.856862,192.168.246.50,192.168.246.210,1392,80,6,54,64,S,Normal
1743394011.863733,192.168.246.50,192.168.246.210,1393,80,6,54,64,S,Normal
1743394011.95578,192.168.246.50,192.168.246.210,1394,80,6,54,64,S,Normal
1743394011.9692721,192.168.246.50,192.168.246.210,1395,80,6,54,64,S,Normal
1743394011.974598,192.168.246.50,192.168.246.210,1396,80,6,54,64,S,Normal
1743394011.9813461,192.168.246.50,192.168.246.210,1397,80,6,54,64,S,Normal
1743394011.9874969,192.168.246.50,192.168.246.210,1398,80,6,54,64,S,Normal
1743394011.991029,192.168.246.50,192.168.246.210,1399,80,6,54,64,S,Normal
1743394011.995498,192.168.246.50,192.168.246.210,1400,80,6,54,64,S,Normal
1743394012.0295758,192.168.246.50,192.168.246.210,1401,80,6,54,64,S,Normal
1743394012.096121,192.168.246.50,192.168.246.210,1402,80,6,54,64,S,Normal
1743394012.1061492,192.168.246.50,192.168.246.210,1403,80,6,54,64,S,Normal
1743394012.111682,192.168.246.50,192.168.246.210,1404,80,6,54,64,S,Normal
1743394012.115523,192.168.246.50,192.168.246.210,1405,80,6,54,64,S,Normal
1743394012.123034,192.168.246.50,192.168.246.210,1406,80,6,54,64,S,Normal
1743394012.129483,192.168.246.50,192.168.246.210,1407,80,6,54,64,S,Normal
1743394012.136396,192.168.246.50,192.168.246.210,1408,80,6,54,64,S,Normal
1743394012.14264,192.168.246.50,192.168.246.210,1409,80,6,54,64,S,Normal
1743394012.1454542,192.168.246.50,192.168.246.210,1410,80,6,54,64,S,Normal
1743394012.151861,192.168.246.50,192.168.246.210,1411,80,6,54,64,S,Normal
1743394012.165216,192.168.246.50,192.168.246.210,1412,80,6,54,64,S,Normal
1743394012.171417,192.168.246.50,192.168.246.210,1413,80,6,54,64,S,Normal
1743394012.175859,192.168.246.50,192.168.246.210,1414,80,6,54,64,S,Normal
